factor,OC,EC,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Ba,Pb,Na+,NH4+,K+,Cl-,NO3-,SO42-,babs_370H,babs_470H,babs_520H,babs_590H,babs_660H,babs_880H,babs_990H
factor_1,2.9341362672852256e-10,0.3382861614227295,0.03394847735762596,3.424767761051051e-11,1.710625456390058e-12,0.046130821108818054,1.1582738240756285e-10,1.52513557338807e-11,0.00020383915398269892,3.410968989897567e-12,3.5825994948446294e-12,0.07051967829465866,2.8681091789745095e-12,1.1153467906199754e-11,2.3448906011358517e-11,0.0006759961252100766,0.00022341820294968784,0.0005662239855155349,0.000514998915605247,1.655941911371528e-10,0.8303009271621704,0.07974781841039658,1.6508869271625315e-10,0.6758409738540649,2.1908947989146554e-09,6.504648208618164,4.11680269241333,9.448096527364669e-09,3.4174416065216064,3.215216875076294,1.8177837133407593,2.148209787833366e-08
factor_2,1.1075975894927979,2.658969919244747e-11,7.543402708032332e-11,0.39555037021636963,0.024140292778611183,0.04887595772743225,8.599453787949685e-11,0.0033511624205857515,2.912231545325328e-13,0.0009733259212225676,0.00340942176990211,0.09226696193218231,4.666831157629225e-12,0.002181114861741662,0.02463540993630886,0.0009682783274911344,9.087411378949639e-11,0.00034683599369600415,0.0008551797945983708,1.5711910938964735e-10,0.8647515773773193,7.455198958172815e-11,0.2328944057226181,1.3830427081362728e-10,2.4170903056841553e-09,5.223316192626953,2.6385087966918945,4.209990134285135e-09,3.089677333831787,4.570773481926693e-10,1.5701497793197632,2.6710617542266846
factor_3,2.309390456645133e-10,3.454251815138143e-11,0.035812053829431534,0.32157081365585327,1.982559299021358e-12,0.05307626351714134,0.03254467621445656,0.0029056055936962366,8.978241385193542e-05,9.533086126056745e-12,0.0037399434950202703,7.74255104474264e-11,0.0008223609183914959,0.001833901391364634,0.025037026032805443,4.485314463592571e-12,5.135355682361897e-11,0.00048054815852083266,0.00043617645860649645,8.162414494305992e-11,0.7328662276268005,0.08536910265684128,4.5383941049692567e-10,0.9622915983200073,7.36917582511154e-10,6.404336929321289,3.930514335632324,6.1285176277160645,3.376953439104824e-10,2.8402576446533203,1.9473756551742554,1.0938597583276533e-08
factor_4,1.3442479372024536,0.3512725532054901,8.761304182147711e-11,1.6791018228601295e-11,0.019819796085357666,0.054021209478378296,0.04002952575683594,1.1451446561838718e-11,3.3720977941388564e-13,0.0007668218459002674,0.002568718744441867,5.4570802737741175e-11,0.0008600768051110208,1.3160390312239034e-11,7.204293411833262e-11,1.695627254057197e-12,5.481974249543775e-11,8.108089937300389e-13,1.2120153784680315e-13,0.17883530259132385,0.734090268611908,6.459459356289443e-11,0.30989107489585876,0.7870912551879883,8.296468512192234e-10,3.2795030580068385e-10,3.7880852222442627,6.631096839904785,3.2549045085906982,4.135555786710654e-10,1.9437124729156494,8.567791809355185e-09
factor_5,1.1536270380020142,0.34578612446784973,1.7183808542764467e-10,0.48853936791419983,0.011017697863280773,3.5272302439937064e-11,0.03424713760614395,0.003246224718168378,0.00020498508820310235,0.0006988157983869314,1.1208164604759041e-11,0.09211872518062592,0.0005751211429014802,0.0015598247991874814,7.829486364796523e-11,0.0007942286902107298,1.2785666969605813e-10,0.0006010249489918351,0.0007252932991832495,0.13655513525009155,0.6737036108970642,0.09311217814683914,6.351408843308093e-10,9.384854698923917e-11,1.473358154296875,6.160353338557911e-10,3.396770715713501,4.5572527973547494e-09,3.377142906188965,2.639800786972046,1.5496129989624023,3.2364273039320324e-08
factor_6,1.33553931802588e-10,0.3457518517971039,0.0009847283363342285,0.6511813998222351,0.002671396592631936,0.014943966642022133,4.676221215804688e-11,6.7012580380609865e-12,0.0005139229469932616,7.506613603283641e-13,9.448527030220255e-13,4.1221057817120155e-11,2.166033628500652e-12,7.095247132882232e-12,1.2054664558225348e-11,0.0005191002856008708,0.00038673653034493327,9.93052862163779e-13,0.0005495842779055238,0.2010362297296524,0.7582039833068848,4.481427381963776e-11,2.6599034086416395e-10,4.813253962066e-11,2.0321874618530273,5.248064994812012,2.900285005569458,2.112769070805598e-09,2.648556096662702e-10,2.463824510574341,4.3895439366670175e-11,2.5790634155273438
