model,factors,seed,factor,factor_label,effective_rank,profile_rms_variability,latent_tau,span_alignment,unique_direction_fraction,max_cosine_to_other_archetype,diagnostic_label,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,4,11,0,factor_1,0,0.0,0.0,,,0.8612378785622078,static_or_no_active_family,0.8633664464842034,0.9631684202129169,0.7879248625041232,3.0,4.426525731401191,0.22591080695773022
lowrank_v2,4,11,1,factor_2,0,0.0,0.0,,,0.9631684202129169,moderate_geometric_confounding,0.8633664464842034,0.9631684202129169,0.7879248625041232,3.0,4.426525731401191,0.22591080695773022
lowrank_v2,4,11,2,factor_3,0,0.0,0.0,,,0.9631684202129169,moderate_geometric_confounding,0.8633664464842034,0.9631684202129169,0.7879248625041232,3.0,4.426525731401191,0.22591080695773022
lowrank_v2,4,11,3,factor_4,0,0.0,0.0,,,0.8844213303543437,static_or_no_active_family,0.8633664464842034,0.9631684202129169,0.7879248625041232,3.0,4.426525731401191,0.22591080695773022
lowrank_v2,4,17,0,factor_1,0,0.0,0.0,,,0.9377767824725861,moderate_geometric_confounding,0.8416164469432518,0.9377767824725861,0.764345524803374,3.0,2.783318558610385,0.3592833443036666
lowrank_v2,4,17,1,factor_2,0,0.0,0.0,,,0.8342225538040847,static_or_no_active_family,0.8416164469432518,0.9377767824725861,0.764345524803374,3.0,2.783318558610385,0.3592833443036666
lowrank_v2,4,17,2,factor_3,0,0.0,0.0,,,0.9044890159688492,moderate_geometric_confounding,0.8416164469432518,0.9377767824725861,0.764345524803374,3.0,2.783318558610385,0.3592833443036666
lowrank_v2,4,17,3,factor_4,0,0.0,0.0,,,0.9377767824725861,moderate_geometric_confounding,0.8416164469432518,0.9377767824725861,0.764345524803374,3.0,2.783318558610385,0.3592833443036666
lowrank_v2,4,23,0,factor_1,0,0.0,0.0,,,0.9906223976952729,high_geometric_confounding,0.7124437270859483,0.9906223976952729,0.6192177822028141,3.0,6.595000946224268,0.1516300009892363
lowrank_v2,4,23,1,factor_2,0,0.0,0.0,,,0.9906223976952729,high_geometric_confounding,0.7124437270859483,0.9906223976952729,0.6192177822028141,3.0,6.595000946224268,0.1516300009892363
