model,factors,seed,is_reference,q_true,objective,archetype_cosine_to_reference,contribution_correlation_to_reference,variability_abs_diff_to_reference,effective_rank_match_fraction
lowrank_v2,4,11,False,278449.5282912116,278449.5282912116,0.9648452308104503,0.783253371754787,0.0,1.0
lowrank_v2,4,17,False,298632.34410008835,298632.34410008835,0.9864536430480342,0.8349740985752079,0.0,1.0
lowrank_v2,4,23,False,278578.9811834266,278578.9811834266,0.9394012231617457,0.7407181400191502,0.0,1.0
lowrank_v2,4,31,False,281025.9625568825,281025.9625568825,0.8784092161234096,0.33893498660146526,0.0,1.0
lowrank_v2,4,41,False,272425.5876605976,272425.5876605976,0.9543452113173845,0.874631485489195,0.0,1.0
lowrank_v2,4,53,False,276105.32029390114,276105.32029390114,0.8925513644097918,0.83819782101752,0.0,1.0
lowrank_v2,4,67,False,274757.49598887085,274757.49598887085,0.9906037512334689,0.825093685250599,0.0,1.0
lowrank_v2,4,79,True,271887.0907982617,271887.0907982617,1.0,1.0,0.0,1.0
lowrank_v2,4,97,False,280066.2238535853,280066.2238535853,0.9759869052030201,0.8255017298270748,0.0,1.0
lowrank_v2,4,113,False,276271.6271722445,276271.6271722445,0.917865073080946,0.8430651032637906,0.0,1.0
lowrank_v2,5,11,True,224005.94771062862,224005.94771062862,1.0,1.0,0.0,1.0
lowrank_v2,5,17,False,225691.62211449986,225691.62211449986,0.981847034080882,0.9168512563545755,0.0,1.0
lowrank_v2,5,23,False,246367.86101285223,246367.86101285223,0.943755121408719,0.624633080073896,0.0,1.0
lowrank_v2,5,31,False,244646.71771792477,244646.71771792477,0.9346061610949746,0.6621234470522016,0.0,1.0
lowrank_v2,5,41,False,233743.53000273003,233743.53000273003,0.8923611263785469,0.46852375332233176,0.0,1.0
lowrank_v2,5,53,False,225731.48284887124,225731.48284887124,0.976782046569563,0.92775481872788,0.0,1.0
lowrank_v2,5,67,False,228594.63625228166,228594.63625228166,0.959639980603674,0.8187737354172695,0.0,1.0
lowrank_v2,5,79,False,240851.81567515634,240851.81567515634,0.9321484179296717,0.7035104915019483,0.0,1.0
lowrank_v2,5,97,False,224704.9078889495,224704.9078889495,0.9865839110554171,0.9462105813709627,0.0,1.0
lowrank_v2,5,113,False,233310.27077070097,233310.27077070097,0.9655260700026596,0.792059387624637,0.0,1.0
lowrank_v2,6,11,False,195332.92476766152,195332.92476766152,0.9534331464949983,0.6774761391011457,0.0,1.0
lowrank_v2,6,17,False,207439.7238792794,207439.7238792794,0.935666275400253,0.7150006363032456,0.0,1.0
lowrank_v2,6,23,False,204212.12782420687,204212.12782420687,0.9741555762938158,0.7372839652998834,0.0,1.0
