3.070928869419731200e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.109127075935248286e-06,1.115571535592607688e-06,2.827873528003692627e-01
1.138194534178182948e-06,1.350289409174365574e-07,0.000000000000000000e+00,8.189583127204969060e-07,3.747644541363115422e-07,9.554096311330795288e-02
4.108918858491961146e-07,6.901955007521110019e-09,0.000000000000000000e+00,0.000000000000000000e+00,2.609542981701906683e-08,1.612003706395626068e-02
1.671214135967602488e-06,3.368566894569500495e-36,6.767987960132978408e-24,1.896804860734846443e-06,3.463733522224288208e-09,2.040961831808090210e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.571018964976246934e-07,2.761041186749935150e-02
1.656752957046592201e-08,1.816778616436920402e-09,1.041924946321159950e-07,2.215160748164635152e-07,8.588600053371919785e-08,2.629059366881847382e-02
1.790032513326877961e-07,1.043076892405042727e-36,7.721162331511383138e-20,8.498739134665811434e-08,3.116104162897981311e-12,1.457816362380981445e-02
4.954776033905261556e-10,1.466535115568490255e-09,2.991493497361830123e-09,3.424555083952895984e-09,1.654317127730564607e-09,1.508797286078333855e-03
1.516749836838471310e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060267873498332847e-09,1.698999840300530195e-04
1.657311843317188504e-09,0.000000000000000000e+00,4.944391562844430155e-09,1.449549898516200308e-12,1.732482057391782765e-14,5.946870660409331322e-04
1.719948183875885661e-09,5.563263183461231165e-09,0.000000000000000000e+00,0.000000000000000000e+00,1.930112834966010715e-13,1.657161512412130833e-03
1.984871007788477359e-13,1.034205965311230102e-08,1.257977828572620638e-07,3.410133899706124794e-07,3.110415036644553766e-08,3.193921223282814026e-02
1.126043813748367484e-09,1.142730424175120163e-10,9.563440039883630561e-10,5.095772137586607187e-10,1.662183862771726695e-10,3.195910539943724871e-04
3.342855436905267652e-10,3.621945798837344910e-10,1.765186441460286915e-09,5.817275994246529081e-09,6.993742807104297299e-10,8.136423421092331409e-04
2.293593581725872355e-08,2.056050954995602669e-20,1.184105168517551876e-13,8.916160254557325970e-08,3.817493069153862935e-19,8.121539838612079620e-03
8.219972480461024134e-10,1.721426612366627751e-10,0.000000000000000000e+00,4.041103007779156542e-09,2.391767617293538706e-10,3.974535502493381500e-04
7.920374356373827140e-10,1.766904157707305245e-11,2.192659069807619491e-26,6.946631048165841094e-10,1.381721959070603134e-10,7.981537055457010865e-05
2.958211675618827030e-09,7.628719728179753839e-20,0.000000000000000000e+00,2.105858598611121124e-09,1.194144338967362273e-09,2.648617664817720652e-04
3.075648535855179944e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.286074884949584884e-09,1.129319542087614536e-03
6.662999680884240661e-07,6.781775852005011984e-08,0.000000000000000000e+00,0.000000000000000000e+00,3.337891598675923888e-07,4.476249217987060547e-02
9.506091913635827950e-09,1.070794951374409720e-06,0.000000000000000000e+00,4.727051759310607991e-26,3.387335027582594194e-06,4.356868863105773926e-01
5.509434117811906617e-07,3.167265560932719382e-08,0.000000000000000000e+00,1.649167131745343795e-07,1.664388094013702357e-07,2.974825911223888397e-02
1.755110048407004797e-07,1.067783585995130125e-07,0.000000000000000000e+00,1.128972684227846912e-07,4.479647941479925066e-07,4.982731491327285767e-02
0.000000000000000000e+00,9.270259511140466202e-07,2.620829206989583327e-07,2.904533467729278135e-27,1.614985080777842086e-06,3.036269545555114746e-01
1.293009518121834844e-06,7.321701787077472545e-07,0.000000000000000000e+00,3.211347063825087389e-07,2.621483872644603252e-06,3.751968443393707275e-01
7.348140115936985239e-06,2.256330617456114851e-06,7.023308626230573282e-06,1.418236661265837029e-05,6.271185611694818363e-06,1.249266028404235840e+00
5.946395958744687960e-06,1.747307805999298580e-06,5.347462774807354435e-06,1.091898775484878570e-05,4.898795396002242342e-06,9.685035943984985352e-01
5.071291070635197684e-06,1.463144712943176273e-06,4.396112672111485153e-06,9.084374141821172088e-06,4.147284926148131490e-06,8.082838058471679688e-01
4.473470198718132451e-06,1.248198032044456340e-06,3.692201971716713160e-06,7.763537723803892732e-06,3.576381004677386954e-06,6.919064521789550781e-01
3.922348241758299991e-06,1.061784359990269877e-06,3.096202817687299103e-06,6.582517016795463860e-06,3.066229055548319593e-06,5.926288962364196777e-01
3.173592403982183896e-06,7.809006206116464455e-07,2.182855951105011627e-06,4.873807029071031138e-06,2.282142304466105998e-06,4.607454240322113037e-01
3.036347215323864646e-12,2.824200725712322502e-12,3.000569194153146491e-12,3.037311721576507750e-12,2.550708559298509037e-12,7.365217804908752441e-01
