factor,OC,EC,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Ba,Pb,Na+,NH4+,K+,Cl-,NO3-,SO42-,babs_370H,babs_470H,babs_520H,babs_590H,babs_660H,babs_880H,babs_990H
factor_1,2.934146259292447e-10,0.3382861018180847,0.03394818305969238,3.424780944949468e-11,1.710606699692474e-12,0.04613041132688522,1.1582703546286766e-10,1.5251383489456316e-11,0.0002038385282503441,3.410985469770589e-12,3.5825650172155443e-12,0.07051960378885269,2.8681018063997366e-12,1.1153411527686785e-11,2.3448678762583164e-11,0.0006759940297342837,0.0002234172134194523,0.0005662214243784547,0.0005149951903149486,1.6559392745918444e-10,0.8302985429763794,0.07974785566329956,1.6508905353873615e-10,0.6758376359939575,2.1909185576873824e-09,6.504627227783203,4.116785526275635,9.448083204688373e-09,3.417422294616699,3.2152130603790283,1.8177756071090698,2.1481936229861276e-08
factor_2,1.1075921058654785,2.6589399085286125e-11,7.543343033544758e-11,0.39554905891418457,0.02414022944867611,0.04887581989169121,8.59955301413251e-11,0.0033511521760374308,2.9122017297655844e-13,0.0009733192855492234,0.0034093959257006645,0.09226635843515396,4.666853275353544e-12,0.0021811057813465595,0.024635277688503265,0.0009682736708782613,9.087319785550108e-11,0.00034683384001255035,0.0008551714126951993,1.5711776324423e-10,0.8647475242614746,7.455223244301479e-11,0.23289307951927185,1.3830327161290512e-10,2.4171125101446478e-09,5.2232985496521,2.6384994983673096,4.209962156664915e-09,3.089667797088623,4.570741007903223e-10,1.5701392889022827,2.6710455417633057
factor_3,2.3093937873142067e-10,3.454205671493682e-11,0.03581175208091736,0.32156801223754883,1.9825423854674673e-12,0.053076066076755524,0.032544493675231934,0.0029055930208414793,8.9781176939141e-05,9.533030614905513e-12,0.0037399455904960632,7.742588514769722e-11,0.0008223536424338818,0.0018338959198445082,0.02503693848848343,4.4852984174004185e-12,5.135282477031211e-11,0.0004805457720067352,0.0004361734609119594,8.162311798676214e-11,0.7328602075576782,0.08536803722381592,4.5383977131940867e-10,0.9622943997383118,7.369151400204998e-10,6.404292106628418,3.9304842948913574,6.128501892089844,3.37695371666058e-10,2.840245246887207,1.9473596811294556,1.0938498107293526e-08
factor_4,1.3442394733428955,0.3512716591358185,8.761437408910666e-11,1.6790924553533593e-11,0.019819708541035652,0.05402103438973427,0.04002934321761131,1.1451446561838718e-11,3.372018376329722e-13,0.0007668219623155892,0.0025687101297080517,5.457109764073209e-11,0.0008600714500062168,1.3160423271985078e-11,7.204243451797154e-11,1.6956155446737342e-12,5.482006168455733e-11,8.108110537141666e-13,1.2120111771846132e-13,0.17883455753326416,0.7340855598449707,6.459500295763476e-11,0.30989018082618713,0.7870886921882629,8.296524578454978e-10,3.279507221343181e-10,3.7880735397338867,6.6310834884643555,3.2548885345458984,4.135548292705238e-10,1.9437121152877808,8.567826448313554e-09
factor_5,1.1536206007003784,0.34578409790992737,1.7183872380588383e-10,0.48853662610054016,0.011017640121281147,3.5272288562149257e-11,0.0342470183968544,0.0032462093513458967,0.00020498437515925616,0.0006988119566813111,1.1208174145738159e-11,0.09211815893650055,0.0005751200951635838,0.0015598172321915627,7.829441261986148e-11,0.0007942247902974486,1.2785647540702882e-10,0.0006010204087942839,0.0007252894574776292,0.13655424118041992,0.673703134059906,0.09311151504516602,6.351374981505842e-10,9.384839433357328e-11,1.4733493328094482,6.160336685212542e-10,3.396751880645752,4.557215937950332e-09,3.3771369457244873,2.639784097671509,1.549603819847107,3.2364116719918457e-08
factor_6,1.335540705804661e-10,0.34575173258781433,0.0009847221663221717,0.6511775851249695,0.0026713807601481676,0.014943939633667469,4.6761622352065046e-11,6.7012580380609865e-12,0.0005139205604791641,7.50658487192607e-13,9.448487998942046e-13,4.122161986752637e-11,2.166048373650198e-12,7.095219377306616e-12,1.2054621190138448e-11,0.0005190977244637907,0.0003867346968036145,9.93058933695945e-13,0.0005495833465829492,0.20103545486927032,0.7582025527954102,4.481473178663542e-11,2.6598712121739254e-10,4.813208512310929e-11,2.032176971435547,5.248056888580322,2.900294780731201,2.1127557481293024e-09,2.648538610650064e-10,2.4638118743896484,4.389496752188471e-11,2.5790579319000244
