time,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
2024-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01 10:00:00,0.5327689051628113,1.9316557882120833e-06,0.8251331448554993,2.240546941757202,4.907257711295188e-09,0.9826817512512207
2024-11-01 11:00:00,0.5534792542457581,1.996187448501587,1.4962260597162214e-11,1.8832658529281616,6.651358283593645e-12,1.4625556468963623
2024-11-01 12:00:00,8.925121926239843e-12,1.659294605255127,1.2433956861495972,1.3979627178084542e-10,1.0150402784347534,1.85145204723014e-10
2024-11-01 13:00:00,2.3179426433816985e-10,6.95891841928642e-08,2.8668052376445985e-09,2.060878038406372,1.0981797693432327e-09,2.293513298034668
2024-11-01 14:00:00,5.080756561998134e-12,2.357148642939677e-10,1.4327445030212402,1.6288529634475708,6.923508988343485e-11,2.391484022140503
2024-11-01 15:00:00,3.2371261921015915e-11,1.2536866664886475,7.217560576977533e-11,0.881662905216217,3.009580135345459,1.6909093569772438e-10
2024-11-01 16:00:00,5.595922059065117e-10,4.93107887855615e-10,2.305501345389871e-09,2.021524429321289,3.5660279174010157e-09,2.9460971355438232
2024-11-01 17:00:00,1.3578619956970215,1.9888432025909424,1.2687011163858841e-11,1.1471613242663992e-10,2.371866464614868,1.6774566458099827e-10
2024-11-01 18:00:00,0.5052960515022278,4.689058474838248e-09,1.318148136138916,6.743157698885227e-10,3.0946977138519287,3.544821380874197e-10
2024-11-01 19:00:00,2.4819165819756073e-12,0.673486590385437,1.568767786026001,2.0868213407299052e-11,2.738184928894043,1.9981034994125366
2024-11-01 20:00:00,5.26372131645636e-12,1.6477253437042236,1.3103480339050293,0.3617658317089081,2.3290021419525146,1.3442974511335137e-10
2024-11-01 21:00:00,8.063632227217621e-12,2.3404645919799805,1.8549420833587646,1.1956119537353516,2.669724464416504,5.788821505481323e-11
2024-11-01 22:00:00,1.3441963687965686e-11,2.0670104026794434,1.8602908849716187,3.409962937017674e-11,2.873486280441284,8.727234906968917e-11
2024-11-01 23:00:00,2.0928194522857666,1.4834321271361972e-10,1.2134299641475277e-11,1.4730639457702637,5.050786611865421e-12,7.066981028147623e-11
2024-11-02 00:00:00,2.808429704070914e-11,2.0230824947357178,1.5121206045150757,5.13914077959754e-10,3.8492906084819367e-10,2.606520776993193e-09
2024-11-02 01:00:00,0.22834542393684387,1.3428101539611816,0.7662455439567566,1.0801923274993896,1.2445883750915527,5.506417891099069e-11
2024-11-02 02:00:00,1.492789626121521,1.5262917596459147e-09,3.906726331326382e-11,1.3586286306381226,0.9903842806816101,7.484219494147126e-11
2024-11-02 03:00:00,0.6205417513847351,1.6439008712768555,1.232321858406067,2.5869151265567325e-09,1.1043723574521991e-10,1.5572137357366955e-08
2024-11-02 04:00:00,2.993710279675099e-10,3.869804920952902e-09,3.780871171699118e-09,4.209994505788295e-11,2.1312968730926514,1.0227506160736084
2024-11-02 05:00:00,0.804094135761261,1.5272029196822245e-09,1.5886578559875488,1.030651569366455,4.826839969385155e-11,1.2688729763031006
2024-11-02 06:00:00,1.7298119068145752,3.216423749563546e-08,1.0546562671661377,1.7033964239132615e-09,4.6595096669932445e-09,3.600740150488946e-09
2024-11-02 07:00:00,2.5089128017425537,7.14773946697278e-08,1.6002589475760942e-08,1.5551745491393376e-07,1.8503292231741852e-09,1.7671073493374934e-08
2024-11-02 08:00:00,2.509520022342393e-11,9.946699713880847e-11,0.9027038216590881,0.6520661115646362,0.6282802820205688,0.9270947575569153
2024-11-02 09:00:00,2.7000042826519355e-11,2.7936702950981385e-10,1.6685028076171875,0.7262201309204102,0.14021608233451843,1.0385862588882446
2024-11-02 10:00:00,2.4579081535339355,0.9089412093162537,2.367682265524973e-11,0.2845039963722229,4.3136356708828316e-08,1.4421204674874843e-08
2024-11-02 11:00:00,0.47887176275253296,1.38129460811615,0.9555242657661438,3.7094157606665235e-11,0.8787630796432495,1.2264418601989746
2024-11-02 12:00:00,0.9752413034439087,2.9386878347414935e-11,4.7570603706192927e-11,0.7894195914268494,1.4738718271255493,1.0068683624267578
2024-11-02 13:00:00,1.2447184324264526,1.3187947955906054e-10,1.1985113620758057,0.7840533256530762,1.1394345883486423e-10,6.970177768295116e-10
2024-11-02 14:00:00,2.6218786256665405e-12,0.4965411126613617,1.021180510520935,0.33360546827316284,0.8832263350486755,1.0445867776870728
2024-11-02 15:00:00,2.7431720089898803e-11,5.314050588456354e-11,1.3908520936965942,0.6872126460075378,2.5423113614309045e-10,1.562646508216858
2024-11-02 16:00:00,2.747907804079297e-11,0.8821862936019897,1.3265684843063354,0.42111632227897644,2.105375873640014e-10,3.813541482600158e-09
2024-11-02 17:00:00,0.7790757417678833,0.7273075580596924,0.7894737720489502,0.3962441682815552,0.06738682091236115,5.411099346375181e-10
2024-11-02 18:00:00,0.7002774477005005,0.8506482839584351,0.7525904178619385,1.0834678640381235e-11,9.947118129183252e-11,4.050846602599023e-10
2024-11-02 19:00:00,0.7815935015678406,0.9850212931632996,1.4557504091072815e-09,7.500457477327416e-10,2.780906338539779e-10,0.8383861184120178
2024-11-02 20:00:00,1.237565279006958,5.5346300875669385e-09,0.9175897836685181,8.705981074941249e-11,4.592039803963388e-10,3.413074933789062e-09
2024-11-02 21:00:00,1.48872206229278e-10,1.031402852014196e-09,3.350307531402308e-10,0.8857461214065552,1.4321173429489136,5.715736772771152e-10
2024-11-02 22:00:00,1.9781891402725904e-11,4.3842197233745495e-11,1.0719492435455322,0.6423894762992859,0.5936045050621033,0.7982937693595886
2024-11-02 23:00:00,8.318826183462136e-11,2.176584468216447e-10,8.33792479504325e-11,1.5700509548187256,1.348701000213623,0.5017640590667725
2024-11-03 00:00:00,1.874786159650199e-10,2.4010013977004974e-09,1.3970435857772827,1.2719632458413344e-08,1.654960036277771,5.5158860118309505e-11
2024-11-03 01:00:00,1.6017961502075195,1.8833996584532997e-09,2.1336293842821874e-10,2.778591356999982e-09,1.1512073278427124,0.37724536657333374
2024-11-03 02:00:00,4.638927748601418e-06,2.697072432056302e-06,7.599253149237484e-05,1.681388312135823e-05,7.000935831058541e-09,1.6855772733688354
2024-11-03 03:00:00,7.379148680985992e-11,1.7831799983978271,9.087291336085102e-11,1.3098835945129395,1.2036709785461426,0.23709245026111603
2024-11-03 04:00:00,7.415557751189183e-11,2.222600221633911,6.16030074174212e-11,3.139298820897807e-10,0.9555575251579285,0.6249005198478699
2024-11-03 05:00:00,5.011694878542805e-11,1.8909835815429688,1.4811983108520508,3.058667208399868e-10,1.2505289316177368,1.2281120564949788e-11
2024-11-03 06:00:00,1.730586377327037e-12,1.1356789120231525e-10,1.4897419214248657,1.8905006647109985,3.6181498335591256e-12,0.7791950106620789
2024-11-03 07:00:00,1.3428797721862793,9.721851101929246e-11,2.078005790710449,2.0262532970938274e-11,1.6853761672973633,9.868537410862022e-12
2024-11-03 08:00:00,0.6477632522583008,1.2207634449005127,1.1706128120422363,4.2200864330821375e-11,1.0468969345092773,0.8958126306533813
2024-11-03 09:00:00,3.101957579687564e-10,2.3178032826365325e-09,6.477858249809287e-10,2.284639699645652e-10,2.8392903804779053,5.53601742225851e-09
2024-11-03 10:00:00,0.658979058265686,1.3769910767180704e-09,1.7399786710739136,3.061287334737983e-11,0.9747986793518066,1.3468670845031738
2024-11-03 11:00:00,1.4636441364457298e-11,3.1797733890392976e-10,2.2177364826202393,1.3677297830581665,1.6124638319015503,9.356544705685366e-11
2024-11-03 12:00:00,7.545010623222215e-12,1.6781970262527466,0.9931148290634155,1.0437124967575073,0.774666965007782,7.293523424101167e-11
2024-11-03 13:00:00,1.455548882484436,1.090975284576416,1.1702172564298507e-10,0.8688591718673706,5.939180397485089e-11,2.554399192167267e-10
2024-11-03 14:00:00,1.2396163262540227e-10,3.895849864932188e-09,1.4342544929490941e-09,3.806010173690311e-09,2.4495227336883545,5.772181344010363e-11
2024-11-03 15:00:00,2.2742960453033447,3.2412142414450784e-10,1.292943946351599e-10,1.3260725736618042,1.8883367092215053e-10,2.5611274212522517e-10
2024-11-03 16:00:00,0.7402288317680359,1.09071683883667,2.1307398553882528e-11,0.7515156269073486,1.446624755859375,6.836779753438549e-11
2024-11-03 17:00:00,0.273116797208786,1.2792580883491667e-10,0.9176310896873474,0.8426626920700073,1.2373104095458984,1.2458447217941284
2024-11-03 18:00:00,0.33597493171691895,0.7584282159805298,1.2956376249650958e-10,1.2029771623289776e-10,0.9800432324409485,0.7542060613632202
2024-11-03 19:00:00,4.139638718619887e-12,0.5517570972442627,0.40958330035209656,0.7080272436141968,1.4671153181211594e-11,0.7017505168914795
2024-11-03 20:00:00,1.31488037109375,2.7842489425111694e-10,0.663578987121582,4.200203726489882e-11,1.3856017028190948e-11,2.0377768916723937e-11
2024-11-03 21:00:00,0.781492292881012,1.1925573348999023,2.78511685936067e-10,1.33250216416414e-10,0.9198281168937683,1.7055136469767973e-10
2024-11-03 22:00:00,1.649289593785852e-10,2.1748709500002406e-09,2.453104608335366e-09,1.5859594345092773,2.0756050211900856e-09,1.8376930952072144
2024-11-03 23:00:00,0.007927143946290016,3.1762455079270557e-12,0.4095148742198944,0.7359881401062012,0.8605647087097168,1.3000062704086304
2024-11-04 00:00:00,1.007053017616272,1.172540545463562,4.1831441088824306e-11,7.841209626047174e-11,1.7642005911699954e-11,1.0952459573745728
2024-11-04 01:00:00,0.46607616543769836,0.9259622097015381,0.855712354183197,2.7428502177850866e-11,0.7032836079597473,1.0568963289260864
2024-11-04 02:00:00,1.8857455253601074,2.042765601117935e-08,1.9380168914794922,5.050651563642816e-10,8.539662033069106e-11,1.7921447659219325e-09
2024-11-04 03:00:00,2.2718019485473633,3.091413974761963,1.220765710741034e-10,2.531229115199096e-10,6.587541623304105e-11,3.8871453278410684e-10
2024-11-04 04:00:00,1.6740108728408813,2.937476634979248,6.741925351327893e-10,5.848201922731278e-10,1.2773720969860847e-10,1.7791516780853271
2024-11-04 05:00:00,0.49281740188598633,1.9437805531818952e-10,1.5835100412368774,1.5378694534301758,1.0793476104736328,2.0076029300689697
2024-11-04 06:00:00,5.461576503551502e-12,2.996892213821411,2.2475485801696777,6.860512158368692e-11,0.9266398549079895,2.3033318519592285
2024-11-04 07:00:00,2.693363865269305e-10,4.347160339355469,3.4018805027008057,3.0534128558912244e-09,2.0727421168320603e-10,1.4006983128922457e-08
2024-11-04 08:00:00,1.397126317024231,1.8822685632358116e-09,2.1559672355651855,3.154942512512207,2.8792289732959553e-11,1.799959625792269e-09
2024-11-04 09:00:00,1.4611764923011528e-11,3.0546162128448486,2.7822813987731934,1.08941536347551e-11,3.842245965834934e-11,9.827784419602636e-12
2024-11-04 10:00:00,2.2282798290252686,2.7766284942626953,7.39447836295426e-10,2.654733030627021e-11,1.8388866186141968,2.032606027935202e-11
2024-11-04 11:00:00,0.6642664074897766,1.6590914726257324,1.1064091920852661,1.079717755317688,0.745947539806366,8.132994971932206e-11
2024-11-04 12:00:00,1.5026291608810425,2.151052951812744,3.7815675590913145e-10,1.7950687603018878e-09,6.587918405243087e-11,2.726250443174649e-07
2024-11-04 13:00:00,4.888540613978698e-11,1.0535874395145584e-07,2.8505520820617676,2.893845163498554e-09,7.06828900964851e-11,3.131432294845581
2024-11-04 14:00:00,0.15539363026618958,0.8417512774467468,1.0954393148422241,0.9331601858139038,1.1225535869598389,1.793547421691244e-09
2024-11-04 15:00:00,2.026686596323657e-09,8.535561164535466e-07,1.974569320678711,5.340148234722619e-08,4.626614646952021e-09,2.4531302452087402
2024-11-04 16:00:00,0.41142183542251587,0.8511632084846497,0.978230893611908,3.851763352713533e-11,9.527216689175777e-12,1.8639016151428223
2024-11-04 17:00:00,4.827803087859017e-11,5.15492162844744e-11,1.075900912284851,0.8538250923156738,1.2104846239089966,3.247251711968602e-08
2024-11-04 18:00:00,0.8014833927154541,0.8166004419326782,0.7550492882728577,5.650101220222581e-11,1.1026593446731567,2.1405739403235202e-08
2024-11-04 19:00:00,1.1031561081287222e-10,1.01589834690094,4.5266376758057447e-10,0.7930271625518799,4.4847507651990526e-11,2.0283584594726562
2024-11-04 20:00:00,1.1260764022635872e-11,1.2148101968811886e-10,0.9185115098953247,0.7205644845962524,0.9026523232460022,1.469462275505066
2024-11-04 21:00:00,0.5301944017410278,0.4799707531929016,0.5519455671310425,5.6068958503852073e-11,0.5927444696426392,1.6727808713912964
2024-11-04 22:00:00,0.5345077514648438,0.7887747287750244,0.5387209057807922,6.354100579031297e-11,8.095238888949918e-12,1.7146210670471191
2024-11-04 23:00:00,9.924974037067713e-11,1.2105083602165223e-10,4.507187512103883e-09,1.386035680770874,1.5378170013427734,1.6594668972302884e-09
2024-11-05 00:00:00,5.49367591418104e-08,1.848663669079542e-05,2.1266085241222754e-05,0.00027881620917469263,1.263740188051088e-07,2.7414350509643555
2024-11-05 01:00:00,0.254862517118454,1.1671851873397827,1.219480276107788,0.8782199025154114,0.5169758796691895,1.6916776895523071
2024-11-05 02:00:00,1.230702519416809,1.396891474723816,1.450424502724701e-10,8.584699617841807e-10,0.8330419659614563,1.490796153191809e-09
2024-11-05 03:00:00,0.5891823768615723,1.1412831544876099,1.083171010017395,0.9061627984046936,0.6573461890220642,1.1688908338546753
2024-11-05 04:00:00,1.6594085693359375,4.7044316886513116e-08,2.2078538997050146e-09,2.5114272883541844e-09,1.2976376639883824e-09,1.6640962362289429
2024-11-05 05:00:00,1.2089672088623047,2.734990012243088e-09,9.406144613199885e-11,1.4889841079711914,1.0998456312361071e-10,1.1907511949539185
2024-11-05 06:00:00,5.770103145286143e-11,7.465441598242251e-10,9.370364484340143e-10,2.674104548905376e-10,1.9480994939804077,1.4685498476028442
2024-11-05 07:00:00,3.226997141725363e-11,1.801081657409668,7.266490187340935e-11,9.418447133313634e-10,1.5787330865859985,2.3272961335862874e-09
2024-11-05 08:00:00,1.0562726908414088e-11,1.6836233139038086,1.2095409631729126,1.0064656734466553,2.077663215083181e-11,1.542984962463379
2024-11-05 09:00:00,1.760454629295971e-11,7.882440256068435e-10,2.514681577682495,7.749230424014542e-11,1.257871150970459,1.5262830257415771
2024-11-05 10:00:00,2.75284822714994e-10,2.070996046066284,9.60786894488308e-10,1.0164943933486938,2.6046018600463867,7.178426689874451e-12
