factor,OC,EC,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Ba,Pb,Na+,NH4+,K+,Cl-,NO3-,SO42-,babs_370H,babs_470H,babs_520H,babs_590H,babs_660H,babs_880H,babs_990H
factor_1,0.0,0.04905051365494728,0.2615239918231964,0.0009703782270662487,6.473816274721322e-12,0.0844176858663559,0.0790816992521286,0.012099340558052063,8.213061664719135e-05,0.00012296724889893085,0.002079214435070753,0.13160526752471924,1.3539891288079833e-27,0.0001829381799325347,0.0002951956121250987,0.00037195737240836024,1.71843482064287e-15,0.0006077088764868677,5.096846871310845e-05,0.039391640573740005,5.741806944570271e-06,0.01888650842010975,1.3710142199860938e-14,4.0908338985059065e-26,0.03119373507797718,1.0081537961959839,0.7233882546424866,0.5697146058082581,0.456580251455307,0.37824076414108276,0.2661899924278259,0.22699479758739471
factor_2,9.615352296764971e-20,0.18254323303699493,0.0,1.0742888450622559,2.2523213904414624e-25,0.015543258748948574,0.015409334562718868,0.0003042658790946007,0.0016455602599307895,6.028247234723949e-09,0.0,0.008414795622229576,0.0009888468775898218,5.293707523817541e-22,0.0010960508370772004,0.00011841071682283655,0.0002518979017622769,0.00020799027697648853,0.0,0.2017534226179123,1.3662201166152954,0.06364291906356812,0.045157838612794876,0.2301541268825531,2.353712797164917,1.2171547412872314,1.090836763381958,0.9683564901351929,0.8758523464202881,0.7732038497924805,0.6117547154426575,0.5660305619239807
factor_3,0.2287193238735199,0.06372425705194473,0.0,1.4748434296052437e-07,0.20505209267139435,0.010102876462042332,0.015514085069298744,7.453357829945162e-05,6.415913230739534e-05,3.72610298171594e-09,2.5026952149673383e-15,0.001792972325347364,3.368577381479554e-05,0.0,5.4659608087216675e-24,8.365845133084804e-06,2.4230805593106197e-06,4.8930982302408665e-05,6.392605428118259e-05,0.29150447249412537,3.601370660951891e-22,0.014897536486387253,0.27271515130996704,0.04800501838326454,0.03030937910079956,0.254709392786026,0.21590927243232727,0.18930684030056,0.17106714844703674,0.1571231484413147,0.13365642726421356,0.12656071782112122
factor_4,0.5987240076065063,0.009902994148433208,1.255491970287995e-14,0.39537641406059265,2.9444711113768562e-09,0.03604369983077049,1.14653555746691e-12,0.00027355621568858624,1.3246504988816917e-24,1.2808315830170613e-07,0.0006247010896913707,0.00976663175970316,2.7593426497417007e-30,0.0009520736639387906,0.006414072122424841,0.0007266649627126753,0.00012445723405107856,0.00017289654351770878,0.0023811894934624434,0.0,2.2246763706207275,0.03516607731580734,0.17503692209720612,2.7832813262939453,0.9360973834991455,1.2411195039749146,0.9210299253463745,0.7801814079284668,0.6647197604179382,0.5595580339431763,0.3832781910896301,0.34816262125968933
factor_5,2.2012691497802734,0.5952140688896179,0.0,0.10065890103578568,2.2244296271325235e-21,0.02637413889169693,0.017152177169919014,0.001057728542946279,6.362450977065685e-23,0.0002035416109720245,1.0189010991531761e-14,0.04201948642730713,0.0,0.001049928367137909,0.005707507487386465,0.00032660760916769505,1.8214004316715086e-32,0.0009304473060183227,1.6299544172033654e-26,0.046102285385131836,0.11884574592113495,0.0989525318145752,0.06640426814556122,0.032449591904878616,0.19779187440872192,10.687044143676758,8.277995109558105,6.8574018478393555,5.8286662101745605,4.940456390380859,3.5895886421203613,3.314420223236084
factor_6,0.2563896179199219,0.2832452654838562,5.624404002446681e-05,0.08491945266723633,0.008439544588327408,0.025993207469582558,0.013989360071718693,0.0028841819148510695,5.292995410854928e-05,0.003960608039051294,0.011829682625830173,0.1361357867717743,0.0017692835535854101,0.003668941557407379,0.05475983768701553,0.001320944633334875,0.00018161807383876294,5.033469909764539e-27,0.0011609499342739582,0.0,5.21685324201826e-05,0.007359272800385952,1.9982340997937004e-20,0.1568475067615509,1.9813292965409346e-05,6.840882301330566,5.15987491607666,4.198896408081055,3.5239009857177734,2.9646880626678467,2.1610047817230225,1.996436357498169
